Red,Green,Blue,Label
0.337254902,0.298039216,0.803921569,2
0.282352941,0.909803922,0.219607843,1
0.968627451,0.219607843,0.08627451,0
0.784313725,0.784313725,0.784313725,8
0.356862745,0.949019608,0.470588235,1
0.02745098,0.458823529,0.611764706,2
0.611764706,0.721568627,0.619607843,9
0.866666667,0.498039216,0.521568627,5
0.17254902,0.564705882,0.019607843,1
0.02745098,0.180392157,0.345098039,2
0.184313725,0.643137255,0.6,2
0.203921569,0.937254902,0.964705882,2
0.533333333,0.392156863,0.725490196,6
0.62745098,0.317647059,0.780392157,6
0.298039216,0.133333333,0.654901961,2
0.047058824,0.501960784,0.203921569,1
0.811764706,0.094117647,0.662745098,6
0.094117647,0.729411765,0.733333333,2
0.094117647,0.615686275,0.631372549,2
0.71372549,0.254901961,0.647058824,6
0.431372549,0.596078431,0.007843137,1
0.631372549,0.184313725,0,0
0.666666667,0.976470588,0.070588235,1
0.094117647,0.949019608,0.388235294,1
0.02745098,0.494117647,0.898039216,2
0.952941176,0.741176471,0.976470588,5
0.31372549,0.388235294,0.250980392,9
0.733333333,0.745098039,0.984313725,2
0.490196078,0.082352941,0.811764706,6
0.101960784,0.466666667,0.08627451,1
0.980392157,0.403921569,0.77254902,5
0.035294118,0.305882353,0.760784314,2
0.003921569,0.517647059,0.623529412,2
0.937254902,0.380392157,0.709803922,5
0.160784314,0.294117647,0.941176471,2
0.933333333,0.121568627,0.803921569,6
0.960784314,0.764705882,0.984313725,5
0.537254902,0.054901961,0.392156863,6
0.729411765,0.858823529,0.533333333,1
0.560784314,0.270588235,0.396078431,6
0.674509804,0.807843137,0.133333333,1
0.858823529,0.980392157,0.760784314,8
0.917647059,0.411764706,0.454901961,5
0.494117647,0.717647059,0.541176471,1
0.22745098,0.521568627,0.196078431,1
0.88627451,0.678431373,0.160784314,3
0.584313725,0.866666667,0.545098039,1
0.396078431,0.4,0.482352941,2
0.756862745,0.364705882,0.337254902,0
0.866666667,0.117647059,0.074509804,0
0.321568627,0.568627451,0.101960784,1
0.305882353,0.211764706,0.670588235,2
0.015686275,0.694117647,0.57254902,1
0.788235294,0.788235294,0.788235294,8
0.078431373,0.360784314,0.384313725,2
0.898039216,0.447058824,0.996078431,6
0.066666667,0.058823529,0.584313725,2
0.678431373,0.77254902,0.141176471,1
0.298039216,0.505882353,0.807843137,2
0.529411765,0.537254902,0.443137255,9
0.054901961,0.439215686,0.925490196,2
0.941176471,0.349019608,0.266666667,0
0.941176471,0.733333333,0.737254902,5
0.980392157,0.533333333,0.741176471,5
0.003921569,0.211764706,0.592156863,2
0.356862745,0.078431373,0.647058824,6
0.137254902,0.839215686,0.62745098,1
0.980392157,0.141176471,0.866666667,6
0.611764706,0.996078431,0,1
0.109803922,0.380392157,0.435294118,2
0.552941176,0.298039216,0.537254902,6
0.580392157,0.647058824,0.254901961,1
0.749019608,0.211764706,0.941176471,6
0.325490196,0.156862745,0.294117647,9
0.596078431,0.317647059,0.670588235,6
0.580392157,0.97254902,0.51372549,1
0.901960784,0.196078431,0.623529412,5
0.796078431,0.129411765,0.51372549,5
0.419607843,0.57254902,0.694117647,2
0.039215686,0.741176471,0.160784314,1
0.57254902,0.043137255,0.890196078,2
0.482352941,0.62745098,0.57254902,1
0.505882353,0.643137255,0.309803922,1
0.654901961,0.42745098,0.188235294,7
0.298039216,0.949019608,0.870588235,2
0.505882353,0.760784314,0.349019608,1
0.792156863,0.968627451,0.082352941,1
0.592156863,0.509803922,0.270588235,7
0.658823529,0.968627451,0.278431373,1
0.164705882,0.450980392,0.980392157,2
0.560784314,0.333333333,0.807843137,6
0.435294118,0.490196078,0.380392157,1
0.717647059,0.905882353,0.607843137,1
0.411764706,0.568627451,0.152941176,1
0.235294118,0.42745098,0.501960784,2
0.08627451,0.28627451,0.184313725,9
0.784313725,0.839215686,0.278431373,1
0.866666667,0.345098039,0.839215686,6
0.188235294,0.062745098,0.929411765,2
1,0.231372549,0.996078431,5
0.803921569,0.168627451,0.176470588,0
0.243137255,0.898039216,0.592156863,1
0.235294118,0.478431373,0.733333333,2
0.431372549,0.639215686,0.129411765,1
0.054901961,0.196078431,0.352941176,2
0.37254902,0.670588235,0.392156863,1
0.768627451,0.788235294,0.968627451,2
0.650980392,0.17254902,0.823529412,6
0,0,0,9
0.556862745,0.984313725,0.125490196,1
0.901960784,0.97254902,0.580392157,4
0.309803922,0.356862745,0.474509804,2
0.074509804,0.231372549,0.145098039,1
0.274509804,0.835294118,0.282352941,1
0.682352941,0.62745098,0.062745098,4
0.541176471,0.498039216,0.48627451,9
0.71372549,0.933333333,0.435294118,1
0.341176471,0.207843137,0.48627451,6
0.756862745,0.309803922,0.650980392,6
0.705882353,0.749019608,0.121568627,1
0.403921569,0.690196078,0.937254902,2
0.137254902,0.968627451,0.631372549,1
0.62745098,0.803921569,0.039215686,1
0.443137255,0.223529412,0.780392157,6
0.51372549,0.439215686,0.007843137,7
0.419607843,0.31372549,0.235294118,7
0.2,0.466666667,0.443137255,2
0.08627451,0.2,0.858823529,2
0.792156863,0.792156863,0.792156863,8
0.129411765,0.019607843,0.51372549,2
0.035294118,0.309803922,0.305882353,2
0.415686275,0.48627451,0.035294118,1
0.717647059,0.878431373,0.768627451,2
0.184313725,0.223529412,0.678431373,2
0.415686275,0.545098039,0.658823529,2
0.37254902,0.015686275,0.203921569,6
0.109803922,0.31372549,0.098039216,1
0.960784314,0.250980392,0.545098039,5
0.57254902,0.305882353,0.023529412,7
0.949019608,0.737254902,0.588235294,7
0.803921569,0.788235294,0.992156863,2
0.243137255,0.17254902,0.749019608,2
0.576470588,0.811764706,0.607843137,1
0.819607843,0.349019608,0.956862745,6
0.568627451,0.364705882,0.976470588,2
0.098039216,0.396078431,0.450980392,2
0.478431373,0.964705882,0.564705882,1
0.505882353,0.556862745,0.925490196,2
0.17254902,0.156862745,0.937254902,2
0.050980392,0.156862745,0.196078431,9
0.631372549,0.435294118,0.709803922,6
0.384313725,0.705882353,0.760784314,2
0.501960784,0.509803922,0.11372549,1
0.666666667,0.992156863,0.717647059,1
0.552941176,0.694117647,0.352941176,1
0.815686275,0.28627451,0.137254902,0
0.580392157,0.156862745,0.784313725,6
0.843137255,0.380392157,0.301960784,0
